PubChem_CID,UniProt_ID
160539,P27487
160540,P10253
5280863,P01308
14982,P06213
5280343,P35568
5280450,Q09428
222284,P48023
5280637,P14672
5281585,P11166
92741,P11168
107783,P35557
5280343,P01275
5280450,P10997
5281855,Q15848
6287,Q9HC96
985,P19429
168928,P41235
656814,P52701
10638,P48357
5280343,P31323
5280637,P49841
5281855,O60343
637511,Q969G3
1549111,P37231
5282110,Q9NQR9
1549106,P13987
107905,O15294
5280343,
10207,
72311,
5280443,
5280637,
222284,
5280343,
11039255,
11119621,
114778,
5280343,
5280637,
5280961,
5281855,
5280343,
1549106,
5280637,
72281,
72282,
5281855,
5280343,
6287,
969516,
5469424,
5315472,
5280637,
65036,
9547215,
62214,
5280343,
5280637,
5280343,
656603,
5280450,
5280637,
441923,
9918692,
441922,
5280637,
1549106,
5280536,
5281600,
5280343,
167766,
73193,
5280343,
5280637,
5318517,
5280961,
5280343,
5280637,
5281727,
5280380,
5280343,
5280637,
5280804,
5280343,
5280637,
222284,
442793,
5281794,
168115,
5280343,
65064,
107905,
2519,
5280343,
5280343,
5280637,
5280450,
6287,
5281224,
5280637,
5280343,
6287,
73949,
10403,
5280343,
5280637,
5281855,
5280637,
5280343,
222284,
5280961,
5280934,
5280343,
5280637,
5281916,
159985,
5280343,
5280637,
5280373,
5280374,
5280343,
5280637,
31553,
31555,
440689,
5280637,
5280343,
107905,
5281855,
6287,
5281855,
5486199,
5280343,
6287,
5280343,
5280450,
5280637,
6287,
5281727,
10640,
5280343,
5280637,
6333,
5359457,
5281439,
5280637,
5318517,
9848024,
5280343,
5280637,
5280343,
5280450,
5280637,
2758,
31230,
5280343,
443608,
5280544,
5280343,
10281,
5280343,
5280637,
16666,
11230,
5281600,
5280343,
5280450,
5280343,
5280637,
6287,
5280343,
107905,
5280637,
6287,
5462311,
5280343,
5280637,
6287,
5280373,
5280798,
5281807,
5280637,
21679027,
265237,
21679098,
5280637,
441891,
5280343,
5280637,
2724385,
6517825,
72376,
5280637,
5281600,
442411,
65126,
5280536,
5281600,
442411,
5280536,
5280343,
637563,
6654,
1549107,
5280343,
1549106,
5281855,
5280343,
5281233,
5281232,
638011,
5280343,
